id,seasg,seasw,seasl,frang,franw,franl,carew,carel,carewp,poseasg,poseasw,poseasl,pofranw,pofrang,pofranl,pocareg,pocarew,pocarel
1,82,58,24,328,265,63,265,63,0.808,21,16,5,63,83,20,83,63,20
2,82,65,17,164,120,44,575,470,0.55,17,11,6,17,28,11,87,43,44
3,82,48,34,246,112,134,447,504,0.47,9,5,4,5,9,4,30,17,13
4,82,59,23,558,320,238,373,307,0.549,10,4,6,21,51,30,51,21,30
5,82,50,32,205,128,77,128,77,0.624,22,12,10,41,61,20,61,41,20
6,82,46,36,246,119,127,158,194,0.449,8,3.5,4,10,25,12,45,17,22
7,82,52,30,410,127,283,127,283,0.31,10,5,5,5,10,5,10,5,5
8,82,47,35,164,78,86,333,225,0.597,5,1,4,1,5,4,56,24,32
9,82,42,40,410,259,151,846,624,0.576,8,3.5,4,18,40,22,161,82,79
10,82,36,46,410,196,214,196,214,0.478,8,3.5,4,3,11,8,11,3,8
11,82,35,47,164,61,103,61,103,0.372,8,3.5,4,10,25,12,45,17,22
12,82,48,34,246,150,96,150,96,0.61,6,2,4,14,29,15,29,14,15
13,82,43,39,164,92,72,430,279,0.606,6,2,4,9,19,10,92,48,44
14,82,28,54,164,48,116,48,116,0.293,8,3.5,4,10,25,12,45,17,22
15,45,23,22,291,139,152,183,190,0.491,8,3.5,4,4,12,8,24,9,15
16,82,49,33,492,272,220,387,388,0.499,4,0,4,11,35,24,40,12,28
17,82,48,34,164,90,74,568,526,0.519,7,3,4,3,11,8,45,17,28
18,82,29,53,164,60,104,161,216,0.427,8,3.5,4,10,25,12,45,17,22
19,82,48,34,328,177,151,177,151,0.54,11,5,6,9,22,13,22,9,13
20,82,55,27,410,221,189,221,189,0.539,19,11,8,22,47,25,47,22,25
21,3,0,3,118,33,85,33,85,0.28,8,3.5,4,10,25,12,45,17,22
22,82,39,43,328,152,176,523,384,0.577,8,3.5,4,0,4,4,91,48,43
23,82,44,38,804,484,320,484,320,0.602,5,1,4,71,118,47,118,71,47
24,82,25,57,164,54,110,304,291,0.511,8,3.5,4,10,25,12,61,31,30
25,82,24,58,410,213,197,213,197,0.52,8,3.5,4,17,39,22,39,17,22
26,82,27,55,246,110,136,110,136,0.447,8,3.5,4,2,6,4,6,2,4
27,82,47,35,1738,1197,541,1197,541,0.689,5,1,4,167,277,110,277,167,110
28,82,24,58,804,437,367,718,578,0.554,8,3.5,4,28,58,30,120,58,62
29,19,7,12,101,50,51,50,51,0.495,8,3.5,4,2,6,4,6,2,4
30,82,27,55,164,59,105,206,204,0.502,8,3.5,4,10,25,12,22,9,13
31,82,24,58,410,213,197,213,197,0.52,8,3.5,4,17,39,22,39,17,22
32,82,55,27,410,221,189,221,189,0.539,19,11,8,22,47,25,47,22,25
33,82,50,32,205,128,77,128,77,0.624,22,12,10,41,61,20,61,41,20
34,82,48,34,246,112,134,447,504,0.47,9,5,4,5,9,4,30,17,13
35,82,27,55,246,110,136,110,136,0.447,8,3.5,4,2,6,4,6,2,4
36,82,24,58,804,437,367,718,578,0.554,8,3.5,4,28,58,30,120,58,62
37,82,46,36,246,119,127,158,194,0.449,8,3.5,4,10,25,12,45,17,22
38,82,58,24,328,265,63,265,63,0.808,21,16,5,63,83,20,83,63,20
39,82,65,17,164,120,44,575,470,0.55,17,11,6,17,28,11,87,43,44
40,82,42,40,410,259,151,846,624,0.576,8,3.5,4,18,40,22,161,82,79
41,82,35,47,164,61,103,61,103,0.372,8,3.5,4,10,25,12,45,17,22
42,82,44,38,804,484,320,484,320,0.602,5,1,4,71,118,47,118,71,47
43,45,23,22,291,139,152,183,190,0.491,8,3.5,4,4,12,8,24,9,15
44,82,47,35,164,78,86,333,225,0.597,5,1,4,1,5,4,56,24,32
45,82,28,54,164,48,116,48,116,0.293,8,3.5,4,10,25,12,45,17,22
46,82,29,53,164,60,104,161,216,0.427,8,3.5,4,10,25,12,45,17,22
47,82,25,57,164,54,110,304,291,0.511,8,3.5,4,10,25,12,61,31,30
48,82,48,34,164,90,74,568,526,0.519,7,3,4,3,11,8,45,17,28
49,82,52,30,410,127,283,127,283,0.31,10,5,5,5,10,5,10,5,5
50,3,0,3,118,33,85,33,85,0.28,8,3.5,4,10,25,12,45,17,22
51,82,49,33,492,272,220,387,388,0.499,4,0,4,11,35,24,40,12,28
52,82,27,55,164,59,105,206,204,0.502,8,3.5,4,10,25,12,22,9,13
53,82,47,35,1738,1197,541,1197,541,0.689,5,1,4,167,277,110,277,167,110
54,82,48,34,246,150,96,150,96,0.61,6,2,4,14,29,15,29,14,15
55,82,59,23,558,320,238,373,307,0.549,10,4,6,21,51,30,51,21,30
56,82,48,34,328,177,151,177,151,0.54,11,5,6,9,22,13,22,9,13
57,19,7,12,101,50,51,50,51,0.495,8,3.5,4,2,6,4,6,2,4
58,82,43,39,164,92,72,430,279,0.606,6,2,4,9,19,10,92,48,44
59,82,39,43,328,152,176,523,384,0.577,8,3.5,4,0,4,4,91,48,43
60,82,36,46,410,196,214,196,214,0.478,8,3.5,4,3,11,8,11,3,8