id,owner,manager,team
1,Joe Lacob,Bob Myers,1610612744
2,Tilman Fertitta,Daryl Morey,1610612745
3,Tom Benson,Trajan Langdon,1610612740
4,Maple Leaf Sports and Entertainment,Masai Ujiri,1610612761
5,Dan Gilbert,Koby Altman,1610612739
6,Stan Kroenke,Tim Connelly,1610612743
7,Joshua Harris,Elton Brand,1610612755
8,Glen Taylor,Scott Layden,1610612750
9,Steve Ballmer,Michael Winger,1610612746
10,Not Avaialable,Not Avaialable,1610612766
11,Jerry Buss Family Trust,Rob Pelinka,1610612747
12,Clay Bennett,Sam Presti,1610612760
13,Ted Leonsis,Tommy Sheppard,1610612764
14,Not Avaialable,Not Avaialable,1610612751
15,Wesley Edens &Â Marc Lasry,Jon Horst,1610612749
16,Paul Allen,Neil Olshey,1610612757
17,Herb Simon,Kevin Pritchard,1610612754
18,Cablevision (James Dolan),Steve Mills,1610612752
19,Greg Miller,Dennis Lindsey,1610612762
20,Wyc Grousbeck,Danny Ainge,1610612738
21,Not Avaialable,Not Avaialable,1610612756
22,Tom Gores,Ed Stefanski,1610612765
23,Micky Arison,Pat Riley,1610612748
24,Rick DeVos,John Hammond,1610612753
25,Tony Ressler,Travis Schlenk,1610612737
26,Jerry Reinsdorf,Gar Forman,1610612741
27,Peter Holt,Brian Wright,1610612759
28,Mark Cuban,Donnie Nelson,1610612742
29,Robert Pera,Zach Kleiman,1610612763
30,Vivek Ranadive,Vlade Divac,1610612758