season,team
2018,1610612737
2018,1610612738
2018,1610612739
2018,1610612740
2018,1610612741
2018,1610612742
2018,1610612743
2018,1610612744
2018,1610612745
2018,1610612746
2018,1610612747
2018,1610612748
2018,1610612749
2018,1610612750
2018,1610612751
2018,1610612752
2018,1610612753
2018,1610612754
2018,1610612755
2018,1610612756
2018,1610612757
2018,1610612758
2018,1610612759
2018,1610612760
2018,1610612761
2018,1610612762
2018,1610612763
2018,1610612764
2018,1610612765
2018,1610612766
2019,1610612737
2019,1610612738
2019,1610612739
2019,1610612740
2019,1610612741
2019,1610612742
2019,1610612743
2019,1610612744
2019,1610612745
2019,1610612746
2019,1610612747
2019,1610612748
2019,1610612749
2019,1610612750
2019,1610612751
2019,1610612752
2019,1610612753
2019,1610612754
2019,1610612755
2019,1610612756
2019,1610612757
2019,1610612758
2019,1610612759
2019,1610612760
2019,1610612761
2019,1610612762
2019,1610612763
2019,1610612764
2019,1610612765
2019,1610612766